brand,name,weight,price
BREMER,"Alfredo Chicken Skillet, 21 oz",21 oz,$3.85
SPECIALLY SELECTED,"Mussels in Garlic Butter Sauce, 16 oz",16 oz,$2.75
SPECIALLY SELECTED,"Mussels in Tomato Garlic Sauce, 16 oz",16 oz,$2.75
SEASON'S CHOICE,"Frozen Blueberries, 24 oz",24 oz,$4.19
FREMONT FISH MARKET,"Value Pack Wild Caught Pink Salmon, 32 oz",32 oz,$11.39
FUSIA ASIAN INSPIRATIONS,"General Tso's Chicken, 26 oz",26 oz,$8.25
BREAKFAST BEST,"Meat Lovers Breakfast Bowl, 7 oz",7 oz,$2.05
SEASON'S CHOICE,"Garlic Riced Cauliflower, 12 oz",12 oz,$1.89
FREMONT FISH MARKET,"Jumbo Coconut Breaded Butterfly Shrimp, 9 oz",9 oz,$4.09
FREMONT FISH MARKET,"Medium EZ Peel Raw Shrimp, 12 oz",12 oz,$6.95
SEASON'S CHOICE,"Frozen Shredded Hash Browns, 30 oz",30 oz,$4.09
SEASON'S CHOICE,"Steamable Frozen Brussels Sprouts, 12 oz",12 oz,$1.25
CASA MAMITA,"Bean and Cheese Burritos, 8 count",32 oz,$4.19
FUSIA ASIAN INSPIRATIONS,"Asian Inspirations Chicken Lo Mein, 20 oz",20 oz,$6.59
BREAKFAST BEST,"Sausage, Egg and Cheese Croissant Breakfast Sandwich, 18 oz",18 oz,$6.29
FREMONT FISH MARKET,"Crunchy Fish Fillets, 19 oz",19 oz,$5.79
FREMONT FISH MARKET,"Wild Caught Breaded Fish Sticks, 24 oz",24 oz,$5.79
SUNDAE SHOPPE,"Moose Tracks Ice Cream, 48 oz",48 fl oz,$3.25
BREAKFAST BEST,"Pre-Cooked Original Sausage Patties, 32 oz",32 oz,$8.79
SEASON'S CHOICE,"Seasoned French Fries, 32 oz",32 oz,$3.19
MAMA COZZI'S PIZZA KITCHEN,"French Bread Pepperoni Pizza, 2 count",11.25 oz,$3.29
KIRKWOOD,"Grilled Chicken Breast Strips, 22 oz",22 oz,$8.25
KIRKWOOD,"Breaded Chicken Fillets, 24 oz",24 oz,$8.79
SUNDAE SHOPPE,"Strawberry Ice Cream, 48 oz",48 fl oz,$3.25
KIRKWOOD,"Crispy Chicken Strips, 25 oz",25 oz,$7.69
,"85/15 Ground Beef Patties, 3 lb",3 lb,$16.39
KIRKWOOD,"Frozen Ground Turkey, 16 oz",16 oz,$2.45
FUSIA ASIAN INSPIRATIONS,"Asian Inspired Mandarin Orange Chicken, 26 oz",26 oz,$8.25
BREMER,"Frozen Chicken Pot Pie, 7 oz",7 oz,$1.09
KIRKWOOD,"Frozen Chicken Tenderloins, 40 oz",40 oz,$8.49
