brand,name,weight,latest_date,latest_price,median_price_30d,pct_diff_vs_30d_median,direction,reason
BAKE HOUSE CREATIONS,"Refrigerated Ready to Bake Pie Crusts, 2 count",14.1 oz,2026-03-15,2.15,2.35,-8.51,lower_vs_30d_median,model_30d_unique
BARISSIMO,"Pumpkin Spice Barista Cold Foam, 13 oz",13 oz,2026-03-15,1.19,2.15,-44.65,lower_vs_30d_median,model_30d_unique|median_diff_30pct
BARISSIMO,"White Chocolate Barista Cold Foam, 13 oz",13 oz,2026-03-15,1.19,2.15,-44.65,lower_vs_30d_median,model_30d_unique|median_diff_30pct
BOULDER,Ultra Paper Towel - 120 Sheets,6 ct,2026-03-15,9.35,9.35,0.0,no_change,model_30d_unique
DAKOTA'S PRIDE,"Pinto Beans, 30 oz",30 oz,2026-03-15,1.75,1.25,40.0,higher_vs_30d_median,model_30d_unique|median_diff_30pct
EMPORIUM SELECTION,"Everything Goat Milk Cheese Log, 6 oz",6 oz,2026-03-15,4.25,4.49,-5.35,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Goat Brie, 7 oz",7 oz,2026-03-15,4.25,4.49,-5.35,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Goat Cheddar, 6.35 oz",6.35 oz,2026-03-15,4.25,4.49,-5.35,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Truffle Goat Log, 4 oz",4 oz,2026-03-15,4.25,4.49,-5.35,lower_vs_30d_median,model_30d_unique
KIRKWOOD,"Buffalo Crispy Chicken Strips, 25 oz",25 oz,2026-03-15,6.95,6.49,7.09,higher_vs_30d_median,model_30d_unique
KIRKWOOD,"Chicken Drumsticks, per lb",2.75 lb,2026-03-15,4.92,5.55,-11.43,lower_vs_30d_median,model_30d_unique
PARKVIEW,"Cocktail Smokies Smoked Sausage, 14 oz",14 oz,2026-03-15,3.15,2.85,10.53,higher_vs_30d_median,model_30d_unique
REESE'S,"Peanut Butter Chips, 10 oz",10 oz,2026-03-15,1.39,2.45,-43.27,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SAVORITZ,"Soup & Oyster Crackers, 10 oz",10 oz,2026-03-15,0.65,0.95,-31.58,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Pavé, 5 oz",5 oz,2026-03-15,2.19,3.65,-40.0,lower_vs_30d_median,model_30d_unique|median_diff_30pct
SPECIALLY SELECTED,"Triple Creme Brie, 5 oz",5 oz,2026-03-15,2.19,3.65,-40.0,lower_vs_30d_median,model_30d_unique|median_diff_30pct
(no brand),"5"" Foliage Plant - Assorted Varieties",1 ea,2026-03-12,3.49,5.24,-33.4,lower_vs_30d_median,median_diff_30pct
(no brand),"5"" Valentine's Day Orchid - Assorted Color",1 ea,2026-02-18,3.19,8.09,-60.57,lower_vs_30d_median,median_diff_30pct
(no brand),"Asparagus, 1 lb",1 lb,2026-03-15,2.15,2.85,-24.56,lower_vs_30d_median,model_30d_unique
(no brand),"Bartlett Pears, 3 lb",3 lb,2026-03-13,3.95,3.75,5.33,higher_vs_30d_median,model_30d_unique
(no brand),Deluxe Valentine's Day Bouquet - Assorted Color,1 ea,2026-02-18,1.49,3.74,-60.16,lower_vs_30d_median,median_diff_30pct
(no brand),"Gala Apples, 3 lb",3 lb,2026-03-15,2.45,2.29,6.99,higher_vs_30d_median,model_30d_unique
(no brand),"Iceberg Lettuce, each",1 each,2026-03-15,2.19,2.39,-8.37,lower_vs_30d_median,model_30d_unique
(no brand),"Mini Sweet Peppers, 1 lb",1 lb,2026-03-15,3.55,2.89,22.84,higher_vs_30d_median,model_30d_unique
(no brand),"Mini Sweet Peppers, Package",1 lb,2026-03-04,3.55,2.89,22.84,higher_vs_30d_median,model_30d_unique
(no brand),"Red Potatoes, 5 lb",5 lb,2026-03-15,2.29,3.79,-39.58,lower_vs_30d_median,model_30d_unique|median_diff_30pct
(no brand),Valentine's Day 10 Stem Tulip Bouquet - Assorted Color,1 ea,2026-02-18,1.49,3.74,-60.16,lower_vs_30d_median,median_diff_30pct
(no brand),Valentine's Day 12 Stem Roses - Assorted Colors,1 ea,2026-02-18,2.49,6.24,-60.1,lower_vs_30d_median,median_diff_30pct
