brand,name,weight,latest_date,latest_price,median_price_30d,pct_diff_vs_30d_median,direction,reason
APPLETON FARMS,"Uncured Turkey Bacon, 10 oz",10 oz,2026-02-27,3.59,3.85,-6.75,lower_vs_30d_median,model_30d_unique
BARISSIMO,"Pumpkin Spice Barista Cold Foam, 13 oz",13 oz,2026-02-27,2.15,3.09,-30.42,lower_vs_30d_median,model_30d_unique|median_diff_30pct
BARISSIMO,"White Chocolate Barista Cold Foam, 13 oz",13 oz,2026-02-27,2.15,3.09,-30.42,lower_vs_30d_median,model_30d_unique|median_diff_30pct
BOULDER,Ultra Paper Towel - 120 Sheets,6 ct,2026-02-27,9.35,9.35,0.0,no_change,model_30d_unique
BREMER,"Shepherd's Pie, 30 oz",30 oz,2026-02-27,3.59,5.65,-36.46,lower_vs_30d_median,model_30d_unique|median_diff_30pct
CHEF'S CUPBOARD,Chicken Pot Pie,18.8 oz,2026-02-26,1.35,1.89,-28.57,lower_vs_30d_median,model_30d_unique
CHEF'S CUPBOARD,"Classic Hawaiian Stuffing, 6 oz",6 oz,2026-02-27,0.75,1.09,-31.19,lower_vs_30d_median,model_30d_unique|median_diff_30pct
CHEF'S CUPBOARD,"Sage and Onion Hawaiian Stuffing, 6 oz",6 oz,2026-02-27,0.75,1.09,-31.19,lower_vs_30d_median,model_30d_unique|median_diff_30pct
CHEF'S CUPBOARD,Steak and Potato soup,18.8 oz,2026-02-26,1.35,1.89,-28.57,lower_vs_30d_median,model_30d_unique
CHOCEUR,"Love Around The World Assorted Chocolates, 3.84 oz",3.84 oz,2026-02-11,3.79,4.29,-11.66,lower_vs_30d_median,model_30d_unique
CHOCEUR,"Love Around The World Dubai Chocolates, 3.6 oz",3.6 oz,2026-02-11,3.79,4.29,-11.66,lower_vs_30d_median,model_30d_unique
ELEVATION,"Apple Pie Pure and Simple Fruit and Nut Bars, 5 count",5 ct,2026-02-27,4.39,4.75,-7.58,lower_vs_30d_median,model_30d_unique
ELEVATION,"Chocolate Peanut Butter Protein Meal Bars, 6 count",6 ct,2026-02-27,5.05,5.29,-4.54,lower_vs_30d_median,model_30d_unique
ELEVATION,"Double Chocolate Protein Meal Bars, 6 count",6 ct,2026-02-27,5.05,5.29,-4.54,lower_vs_30d_median,model_30d_unique
ELEVATION,"Peanut Butter Cookie Pure and Simple Fruit and Nut Bars, 5 count",5 ct,2026-02-27,4.39,4.75,-7.58,lower_vs_30d_median,model_30d_unique
ELEVATION,"Strawberry Protein Meal Bars, 6 Bars",6 ct,2026-02-27,5.05,5.29,-4.54,lower_vs_30d_median,model_30d_unique
FRIENDLY FARMS,"Extra Creamy Whipped Dairy Topping, 13 oz",13 oz,2026-02-27,2.75,2.49,10.44,higher_vs_30d_median,model_30d_unique
FRIENDLY FARMS,"Whipped Dairy Topping, 13 oz",13 oz,2026-02-27,2.75,2.49,10.44,higher_vs_30d_median,model_30d_unique
