brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
MAMA COZZI'S PIZZA KITCHEN,"Sliced Pepperoni, 6 oz",6 oz,$2.99,793.7866475000001,34.019427750000006,170.09713875000003
LUNCH MATE,"Family Size Low Sodium Oven Roasted Turkey, 15 oz",15 oz,$5.85,455.61733593750006,68.34260039062501,425.24284687500005
PARK STREET DELI,"Pine Nut Hummus, 10 oz",10 oz,$2.85,607.4897812500001,20.249659375000004,283.4952312500001
APPLETON FARMS,"Spicy Gluten Free Bite Size Salami, 8 oz",8 oz,$6.95,809.9863750000001,64.79891,226.79618500000004
MAMA COZZI'S PIZZA KITCHEN,"16"" Sausage Deli Pizza, 45.09 oz",45.09 oz,$7.95,3018.161105695313,133.1541664277344,1278.2799977062502
APPLETON FARMS,"Gourmet Deli Selection, 6 oz",6 oz,$6.05,546.7408031250001,48.599182500000005,170.09713875000003
PRIANO,"Tri-Color Tortelloni, 9 oz",9 oz,$2.99,714.4079827500002,30.617484975000007,255.14570812500006
PRIANO,"Mushroom Tortelloni, 8.8 oz",8.8 oz,$1.99,803.8664779444447,27.71953372222223,249.47580350000007
LUNCH MATE,"Oven Roasted Turkey Breast, 1 lb",16 oz,$5.85,404.99318750000003,72.89877375,453.5923700000001
APPLETON FARMS,"Hickory Smoked Thick Sliced Bacon, 24 oz",24 oz,$7.49,3887.9346000000005,194.39673000000002,680.3885550000001
LUNCH MATE,"Hard Salami, 8 oz",8 oz,$4.39,971.9836500000001,48.599182500000005,226.79618500000004
LUNCH MATE,"Sliced Cooked Ham, 14 oz",14 oz,$3.19,425.242846875,70.8738078125,396.89332375000004
MAMA COZZI'S PIZZA KITCHEN,"Sliced Turkey Pepperoni, 5 oz",5 oz,$3.09,354.36903906250006,45.561733593750006,141.74761562500004
TUSCAN GARDEN,"Real Bacon Bits, 2.5 oz",2.5 oz,$2.05,253.12074218750004,30.374489062500004,70.87380781250002
SIMMS,"Original Summer Sausage, 16 oz",16 oz,$4.65,1376.9768375,80.9986375,453.5923700000001
APPLETON FARMS,"Thick Cut Bacon, 16 oz",16 oz,$4.65,2267.96185,188.99682083333335,453.5923700000001
PRIANO,"Cheese Tortelloni, 8.8 oz",8.8 oz,$1.99,623.6895087500002,29.93709642000001,249.47580350000007
PRIANO,"Prosciutto Italiano, 3 oz",3 oz,$3.55,194.39673000000002,21.262142343750003,85.04856937500001
PRIANO,"Speck Italiano, 3 oz",3 oz,$3.55,303.74489062500004,30.374489062500004,85.04856937500001
APPLETON FARMS,"Thick Cut Maple Bacon, 24 oz",24 oz,$7.49,3401.9427750000004,226.79618500000004,680.3885550000001
APPLETON FARMS,"Thick Cut Peppered Bacon, 24 oz",24 oz,$7.49,3742.1370525000007,238.13599425000004,680.3885550000001
SIMPLY NATURE,"Organic Garlic Hummus, 8 oz",8 oz,$2.85,566.9904625,16.1997275,226.79618500000004
SIMMS,"Beef Sausage Snack Sticks, 7 oz",7 oz,$4.15,868.204145703125,37.2087491015625,198.44666187500002
SPECIALLY SELECTED,"Panino Tray, 18 oz",18 oz,$11.65,1700.9713875000002,113.39809250000002,510.2914162500001
SIMPLY NATURE,"Organic Smoked Turkey Breast, 6 oz",6 oz,$6.05,170.09713875000003,40.82331330000001,170.09713875000003
SPECIALLY SELECTED,"Sea Salt Caramel Chocolate Chunk Cookie Dough, 16 oz",16 oz,$4.09,1909.862610526316,23.873282631578952,453.5923700000001
PARK STREET DELI,"Chickpea Salad, 8 oz",8 oz,$2.75,317.51465900000005,11.339809250000002,226.79618500000004
