brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
BAKE SHOP,"Chocolate Chip Muffins, 4 count",14 oz,$4.29,1547.883962625,19.844666187500003,396.89332375000004
BAKE SHOP,"Blueberry Mini Muffins, 12 oz",12 oz,$3.65,1342.8721480263162,14.920801644736844,340.19427750000006
BAKE SHOP,"Triple Chocolate Creme Cake, 20 oz",20 oz,$5.39,2029.9658533950621,20.999646759259264,566.9904625000001
L'OVEN FRESH,"Cinnamon Raisin Mini Bagels, 18 oz",18 oz,$3.95,1424.0690686046516,47.468968953488385,510.2914162500001
L'OVEN FRESH,"Cinnamon Swirl Bread, 16 oz",16 oz,$2.75,1295.9782,32.399455,453.5923700000001
SIMPLY NATURE,"Sprouted 7 Grain Bread, 16 oz",16 oz,$3.65,971.9836500000001,48.599182500000005,453.5923700000001
SPECIALLY SELECTED,"Sliced Sourdough Round, 24 oz",24 oz,$3.65,1424.0690686046514,47.46896895348838,680.3885550000001
SPECIALLY SELECTED,"Artisan Flatbread, 14.1 oz",14.1 oz,$4.39,1279.1304834000002,31.978262085000004,399.7282760625001
L'OVEN FRESH,"Spinach Herb Wraps, 15 oz",15 oz,$3.29,1197.8671742957747,35.936015228873245,425.24284687500005
SPECIALLY SELECTED,"Brioche Rolls, 16.9 oz",16.9 oz,$3.99,1533.1422106000002,47.91069408125001,479.10694081250006
L'OVEN FRESH,"Sun-Dried Tomato Wraps, 15 oz",15 oz,$3.29,1197.8671742957747,29.946679357394366,425.24284687500005
L'OVEN FRESH,"Center Split Deli Rolls - 6 count, 15 oz",15 oz,$2.75,1137.973815580986,35.936015228873245,425.24284687500005
SPECIALLY SELECTED,"Chocolate Chip Sliced Brioche Loaf, 1.1 lb",17.6 oz,$5.45,1801.769691944445,41.57930058333335,498.95160700000014
BAKE HOUSE CREATIONS,"Cinnamon Rolls with Icing, 8 count",8 ct,$2.45,5.454545454545455,0.07272727272727274,1.6
L'OVEN FRESH,"Oat Bran Bread, 20 oz",20 oz,$2.19,1417.4761562500003,60.74897812500001,566.9904625000001
BAKE SHOP,"Large Croissants, 10.5 oz",10.5 oz,$3.29,1190.67997125,17.86019956875,297.6699928125
PUEBLO LINDO,"Large Burrito Flour Tortillas, 8 count",8 ct,$2.19,4.732394366197183,0.11267605633802817,1.6
BAKE SHOP,"Kitchen Sink Cookies, 14 oz",14 oz,$4.29,1933.582859294872,30.530255673076926,396.89332375000004
CASA MAMITA,"Crunchy Hard Taco Shells, 12 count",4.6 oz,$1.65,611.2865923828125,8.1504878984375,130.407806375
SPECIALLY SELECTED,"Garlic Naan Bread, 17.6 oz",17.6 oz,$5.49,1425.5760200000004,47.51920066666668,498.95160700000014
SPECIALLY SELECTED,"Sourdough Square Loaf, 24 oz",24 oz,$3.65,1666.257685714286,55.541922857142865,680.3885550000001
SPECIALLY SELECTED,"Ciabatta Sandwich Rolls, 18 oz",18 oz,$3.75,1260.7199695588238,48.02742741176472,510.2914162500001
PUEBLO LINDO,"6"" White Corn Tortillas, 30 count",25 oz,$2.15,1528.6507567401964,27.793650122549025,708.7380781250001
L'OVEN FRESH,"Classic Kaiser Buns, 8 count",26 oz,$3.09,2076.3031021126762,62.28909306338029,737.0876012500001
BAKE HOUSE CREATIONS,"Jumbo Flaky Biscuits, 16 oz",16 oz,$1.99,1352.8193491228071,23.873282631578952,453.5923700000001
L'OVEN FRESH,"35 Calorie Whole Wheat Bread, 16 oz",16 oz,$2.65,774.4259975609757,55.31614268292684,453.5923700000001
BAKE SHOP,"Strawberry Cheese Danish, 14 oz",14 oz,$3.39,1666.9519597500002,15.875732950000002,396.89332375000004
PUEBLO LINDO,"6"" Yellow Corn Tortillas, 30 count",25 oz,$2.15,1507.9533577127663,30.159067154255325,708.7380781250001
L'OVEN FRESH,"Heat & Serve Garlic Knots, 8 count",10.4 oz,$3.29,956.2217529729731,23.90554382432433,294.83504050000005
SIMPLY NATURE,"Seedtastic Organic Bread, 27 oz",27 oz,$4.65,1871.0685262500003,85.04856937500001,765.4371243750002
SPECIALLY SELECTED,"Brioche Buns, 6 count",10.58 oz,$4.25,959.8014549200001,29.993795466250003,299.93795466250003
LIVEGFREE,"Gluten Free Wide Pan Whole Grain Bread, 20 oz",20 oz,$7.69,1460.429979166667,8.590764583333335,566.9904625000001
TURANO,"Pane Italian Bread, 24 oz",24 oz,$5.29,1614.4813169491529,57.660047033898316,680.3885550000001
EL MILAGRO,"8"" Fajita Flour Tortillas, 10 count",10 ct,$2.19,5.588235294117647,0.14705882352941177,2.0
SIMPLY NATURE,"Organic Graintastic Thin-sliced Bread, 20.4 oz",20 oz,$3.55,1469.9752731481485,62.99894027777779,566.9904625000001
TURANO,"French Rolls, 16 oz",16 oz,$4.65,1178.1620000000003,41.235670000000006,453.5923700000001
L'OVEN FRESH,"Garlic Herb Bread, 10 oz",10 oz,$3.65,994.7201096491231,24.868002741228075,283.4952312500001
LEWIS BAKE SHOP,"Hawaiian Half Loaf Bread, 12 oz",12 oz,$2.35,,,
L'OVEN FRESH,"Bagel Skinny's, 13 oz",13 oz,$2.99,881.3003927989133,32.047287010869574,368.5438006250001
EL MILAGRO,"Gluten Free Corn Tostadas, 24 count",14 oz,$4.39,1804.0605625,24.054140833333335,396.89332375000004
L'OVEN FRESH,"Pains au Chocolat, 12.69 oz",12.69 oz,$4.85,1518.9674490375003,23.98369656375,359.75544845625006
EGGLIFE,"Original Egg Wrap, 6 oz",6 oz,$5.49,151.87244531250002,30.374489062500004,170.09713875000003
EL MILAGRO,"Corn Tortillas, 12 count",12 ct,$0.75,5.000000000000001,0.15000000000000002,2.4000000000000004
SIMPLY NATURE,"Graintastic Organic Bread, 27 oz",27 oz,$4.65,1871.0685262500003,85.04856937500001,765.4371243750002
LIVEGFREE,"Gluten Free Wide Pan White Bread, 20 oz",20 oz,$7.69,1460.429979166667,8.590764583333335,566.9904625000001
L'OVEN FRESH,"Pre-Sliced Bagel Skinnys, 8 count",13 oz,$2.99,881.3003927989133,32.047287010869574,368.5438006250001
L'OVEN FRESH,"Plain Protein Wraps, 12 oz",12 oz,$3.29,716.1984789473686,71.61984789473686,340.19427750000006
SPECIALLY SELECTED,"Croissant Rich Butter Flavor Buns, 4 count",10.58 oz,$3.99,1239.7435459383335,23.995036373000005,299.93795466250003
SIMPLY NATURE,"Organic Seedtastic Thin-Sliced Bread, 20.4 oz",20.4 oz,$3.55,1445.8256793750002,61.9639576875,578.3302717500001
EL MILAGRO,"Flour Tortillas, 12 count",12 ct,$1.45,6.7058823529411775,0.17647058823529416,2.4000000000000004
BAKE SHOP,"Cinnamon Sweet Rolls, 8 count",22 oz,$3.75,2238.8854160256415,39.980096714743595,623.6895087500001
SPECIALLY SELECTED,"Sesame Seed Brioche Buns, 6 count",10.58 oz,$4.25,959.8014549200001,29.993795466250003,299.93795466250003
SPECIALLY SELECTED,"Take & Bake French Baguette, 9.5 oz",9.5 oz,$2.05,708.7380781250002,23.624602604166675,269.32046968750006
L'OVEN FRESH,"Keto Friendly White Bread, 14 oz",14 oz,$4.65,496.11665468750004,56.69904625,396.89332375000004
L'OVEN FRESH,"Keto Friendly Wheat Bread, 14 oz",14 oz,$4.65,566.9904625,70.8738078125,396.89332375000004
SPECIALLY SELECTED,"Garlic Mini Naan, 12.7 oz",12.7 oz,$5.25,1120.1211581388889,40.00432707638889,360.0389436875
CASA MAMITA,"Soft Taco Dinner Kit, 14 oz",14 oz,$3.65,1860.4374550781251,24.805832734375002,396.89332375000004
CASA MAMITA,"Crunchy Taco Dinner Kit, 8.6 oz",8.6 oz,$3.65,1142.8401509765627,15.237868679687502,243.80589887500003
L'OVEN FRESH,"Hawaiian Bagels, 20 oz",20 oz.,$1.89,1568.271492021277,54.28632087765959,566.9904625000001
SPECIALLY SELECTED,"Sliced Italian Loaf, 24 oz",24 oz,$4.19,1457.9754750000002,48.599182500000005,680.3885550000001
SPECIALLY SELECTED,"All Butter Croissants, 6 count",12 oz,$4.09,1253.347338157895,23.873282631578952,340.19427750000006
L'OVEN FRESH,"Original Low Carb Tortillas, 8 count",12 oz,$3.65,485.99182500000006,32.399455,340.19427750000006
EGGLIFE,"Garden Salsa Egg Wrap, 6 oz",6 oz,$5.49,179.04961973684215,32.82576361842106,170.09713875000003
BAKE SHOP,"Chocolate Frosted Mini Donut, 14 oz",14 oz,$3.49,1910.9678550925928,14.699752731481484,396.89332375000004
BAKE SHOP,"Powdered Sugar Mini Donut, 14 oz",14 oz,$3.49,1601.4993765350878,20.88912230263158,396.89332375000004
BAKER'S TREAT,"Cinnamon Crunch Mini Muffins, 20 count",8.25 oz,$2.75,1096.9760164961285,12.41859641316372,233.88356578125004
BAKER'S TREAT,"Cotton Candy Mini Muffins, 20 count",8.25 oz,$2.75,,,
L'OVEN FRESH,"French Toast Bagels, 20 oz",20 oz.,$1.89,1568.271492021277,54.28632087765959,566.9904625000001
TWO-BITE,"Oreo Mini Muffins, 9 count",,$4.49,0.0,0.0,0.0
BAKE SHOP,"7 Up Lemon Lime Cake, 20 oz",20 oz,$5.39,2143.500528963415,20.743553506097566,566.9904625000001
SPECIALLY SELECTED,"Strawberry White Chocolate Mousse Dessert Cups, 4.2 oz",4.2 oz,$2.85,376.00420144736853,2.0889122302631584,119.06799712500002
