brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
FRIENDLY FARMS,"Lactose Free 2% Reduced Fat Ultra Filtered Milk, 59 fl oz",59 fl oz,$4.29,,,
FRIENDLY FARMS,"Vanilla Protein Blended Nonfat Greek Yogurt Cups, 4 count",4 x 5.3 oz,$4.09,,,
EMPORIUM SELECTION,"Grass Fed Cheddar Cheese, 7 oz",7 oz,$3.95,850.48569375,56.69904625,198.44666187500002
EMPORIUM SELECTION,"Applewood Smoked Gouda Cheese, 8 oz",8 oz,$4.25,809.9863750000001,56.69904625000001,226.79618500000004
EMPORIUM SELECTION,"Cheddar Parmesan Cheese, 7 oz",7 oz,$3.95,779.6118859375,49.611665468750004,198.44666187500002
SIMPLY NATURE,"Organic White Mild Cheddar Cheese Slices, 6 oz",6 oz,$2.99,647.9891,40.49931875,170.09713875000003
BARISSIMO,"French Vanilla Dry Coffee Creamer, 15 oz",15 oz,$3.75,,,
HAPPY FARMS,"Deluxe American Cheese Slices, 24 count",24 ct,$4.35,17.684210526315795,1.010526315789474,4.800000000000001
EMPORIUM SELECTION,"Double Cream Amarena Cherry Goat Milk Cheese Log, 6 oz",6 oz,$3.95,607.4897812500001,18.2246934375,170.09713875000003
COUNTRYSIDE CREAMERY,"Pure Irish Butter, 8 oz",8 oz,$4.29,1619.9727500000001,0.0,226.79618500000004
GOLDHEN,"Liquid Egg Whites, 32 oz",32 oz,$5.19,493.0351847826087,98.60703695652175,907.1847400000001
EMPORIUM SELECTION,"Pesto Sliced Mozzarella, 8 oz",8 oz,$4.39,566.9904625,40.49931875,226.79618500000004
GOYA,"Coconut Milk, 13.5 fl oz",13.5 fl oz,$2.19,,,
EMPORIUM SELECTION,"Marinated Sliced Mozzarella Cheese, 8 oz",8 oz,$4.39,1052.9822875000002,24.299591250000002,226.79618500000004
BELGIOIOSO,"Fresh Mozzarella Snacking Cheese, 6 count",6 oz,$3.65,425.24284687500005,30.374489062500004,170.09713875000003
BOURSIN,"Shallot & Chive Gournay Cheese, 5.2 oz",5.3 oz,$5.49,621.734369224138,10.362239487068967,150.25247256250003
BOURSIN,"Garlic & Fine Herb Gournay Cheese, 5.2 oz",5.3 oz,$5.49,621.734369224138,10.362239487068967,150.25247256250003
BARISSIMO,"Sugar Free French Vanilla Dry Coffee Creamer, 10.2 oz",10.2 oz,$3.75,,,
EMPORIUM SELECTION,"Habanero Jack Deli Sliced Cheese, 8 oz",8 oz,$2.15,835.5648921052633,59.68320657894738,226.79618500000004
HAPPY FARMS/EMPORIUM SELECTION,"Specialty Party Cheese Tray, 13.7 oz",13.7 oz,$4.85,1456.4567505468751,97.09711670312501,388.38846681250004
EMPORIUM SELECTION,"Gluten Free Halloumi Style Cheese Sticks, 8 oz",8 oz,$3.65,728.9877375000001,40.49931875,226.79618500000004
KRAFT,"American Cheese Singles, 24 count",16 oz,$5.35,1425.5760200000002,77.75869200000001,453.5923700000001
EMPORIUM SELECTION,"Gouda Cheese Wedge, 7 oz",7 oz,$3.19,708.738078125,49.611665468750004,198.44666187500002
