brand,name,weight,price
L'OVEN FRESH,"Pre-Sliced Everything Bagels, 6 count",20 oz,$1.89
L'OVEN FRESH,"Parmesan Romano Garlic Bread, 10 oz",10 oz,$3.65
L'OVEN FRESH,"12 Grain Wide Pan Bread, 24 oz",24 oz,$2.29
L'OVEN FRESH,"Honey Wheat Bread, 20 oz",20 oz,$2.05
L'OVEN FRESH,"Italian Bread, 20 oz",20 oz,$2.49
L'OVEN FRESH,"100% Whole Wheat Bread, 20 oz",20 oz,$2.15
L'OVEN FRESH,"Hawaiian Sweet Rolls, 12 count",12 oz,$2.95
BAKE SHOP,"Lemon Sliced Loaf Cake, 8 Count",14 oz,$4.29
BAKE SHOP,"Banana Nut Sliced Loaf Cake, 8 Count",14 oz,$4.29
L'OVEN FRESH,"White Bread, 20 oz",20 oz,$1.29
L'OVEN FRESH,"Whole Grain White Bread, 20 oz",20 oz,$2.19
BAKER'S TREAT,"Apple Lunchbox Pie, 4 oz",4 oz,$0.85
BAKER'S TREAT,"Cherry Lunchbox Pie, 4 oz",4 oz,$0.85
BAKE SHOP,"Mini Croissants, 10 oz",10 oz,$3.29
SPECIALLY SELECTED,"Chocolate Chip Brioche, 14.11 oz",14.11 oz,$5.45
L'OVEN FRESH,"100% Whole Wheat Wide Pan Bread, 24 oz",24 oz,$2.29
L'OVEN FRESH,"Garlic Herb Bread, 10 oz",10 oz,$3.65
L'OVEN FRESH,"Cinnamon Raisin Bread, 16 oz",16 oz,$2.75
L'OVEN FRESH,"Potato Sandwich Rolls, 15 oz",16 oz,$2.45
BAKE SHOP,"Blueberry Muffins, 4 count",14.1 oz,$4.29
BAKE SHOP,"Chocolate Chip Muffins, 4 count",14 oz,$4.29
BAKE SHOP,"Blueberry Mini Muffins, 12 oz",12 oz,$3.65
BAKE SHOP,"Triple Chocolate Creme Cake, 20 oz",20 oz,$5.39
L'OVEN FRESH,"Cinnamon Raisin Mini Bagels, 18 oz",18 oz,$3.95
L'OVEN FRESH,"Cinnamon Swirl Bread, 16 oz",16 oz,$2.75
SIMPLY NATURE,"Sprouted 7 Grain Bread, 16 oz",16 oz,$3.65
