brand,name,weight,price
L'OVEN FRESH,"Artisanal Hamburger Buns, 8 count",18 oz,$3.09
L'OVEN FRESH,"Plain Protein Wraps, 12 oz",12 oz,$3.29
SIMPLY NATURE,"Organic Seedtastic Thin-Sliced Bread, 20.4 oz",20.4 oz,$3.55
EL MILAGRO,"Flour Tortillas, 12 count",12 ct,$1.55
BAKE SHOP,"Cinnamon Sweet Rolls, 8 count",22 oz,$3.55
SPECIALLY SELECTED,"Sesame Seed Brioche Buns, 6 count",10.58 oz,$4.25
SPECIALLY SELECTED,"Brioche Bagel, 17.5 oz",17.5 oz,$4.39
SPECIALLY SELECTED,"Caramel Belgium Desserts - 2 pack, 2.1 oz",4.23 oz,$4.39
SPECIALLY SELECTED,"Chocolate Belgium Desserts - 2 pack, 2.1 oz",4.23 oz,$4.39
SPECIALLY SELECTED,"Take & Bake French Baguette, 9.5 oz",9.5 oz,$2.05
BAKE SHOP,"Pumpkin Pie, 37 oz",37 oz,$6.99
L'OVEN FRESH,"Keto Friendly White Bread, 14 oz",14 oz,$4.65
L'OVEN FRESH,"Keto Friendly Wheat Bread, 14 oz",14 oz,$4.65
BAKER'S TREAT,"Confetti Brownies with Chocolate Chips Candies, 6 count",13.12 oz,$2.09
SPECIALLY SELECTED,"Everything Sourdough Loaf, 24 oz",24 oz,$3.65
SPECIALLY SELECTED,"Garlic Mini Naan, 12.7 oz",12.7 oz,$5.25
CASA MAMITA,"Soft Taco Dinner Kit, 14 oz",14 oz,$3.95
CASA MAMITA,"Crunchy Taco Dinner Kit, 8.6 oz",8.6 oz,$3.95
L'OVEN FRESH,"Hawaiian Bagels, 20 oz",20 oz.,$2.19
BAKE SHOP,"Pumpkin Sliced Loaf Cake, 13.3 oz",13.3 oz,$4.29
SPECIALLY SELECTED,"Creme Brulee, 3.6 oz",3.5 oz,$2.19
SPECIALLY SELECTED,"Sliced Italian Loaf, 24 oz",24 oz,$4.19
SPECIALLY SELECTED,"All Butter Croissants, 6 count",12 oz,$4.09
L'OVEN FRESH,"Original Low Carb Tortillas, 8 count",12 oz,$3.75
EGGLIFE,"Garden Salsa Egg Wrap, 6 oz",6 oz,$5.49
L'OVEN FRESH,"Marbled Cinnamon Breakfast Bread, 20 oz",20 oz,$4.39
BAKE SHOP,"Chocolate Frosted Mini Donut, 14 oz",14 oz,$3.49
BAKE SHOP,"Powdered Sugar Mini Donut, 14 oz",14 oz,$3.49
MAMA COZZI'S PIZZA KITCHEN,"Thin Mini Pizza Crusts with Sauce, 12 oz",12 oz,$3.09
L'OVEN FRESH,"French Toast Bagels, 20 oz",20 oz.,$2.19
BAKE SHOP,"7 Up Lemon Lime Cake, 20 oz",20 oz,$4.95
PILLSBURY,"Turkey Shape Sugar Cookie Dough, 20 count",9.1 oz,$3.86
BAKE SHOP,"Cheesecake Sampler, 16 oz",16 oz,$5.49
L'OVEN FRESH,"Hawaiian Brioche Rolls, 12 count",12.69 oz,$4.39
BAKER'S TREAT,"Honey Buns, 6 count",10.5 oz,$2.15
EGGLIFE,"Roasted Garlic & Herb Egg White Wraps, 6 count",6 oz,$5.49
L'OVEN FRESH,"Protein Keto Bread, 18 oz",18 oz,$4.39
SIMPLY NATURE,"Organic Rustic Italian Boule, 24 oz",24 oz,$4.85
SPECIALLY SELECTED,"Bistro Original Bread, 21 oz",21 oz,$4.39
L'OVEN FRESH,"Original Zero Net Carb Wraps, 6 count",7.8 oz,$2.99
BAKER'S TREAT,"Peanut Butter Wafers, 12 count",12 oz,$2.15
MAMA COZZI'S PIZZA KITCHEN,"Ready To Bake Jalapeno Pizza Dough, 16 oz",16 oz,$1.35
BAKE HOUSE CREATIONS,"Chocolate Cake Pops, 5.4 oz",5.4 oz,$5.49
BAKE HOUSE CREATIONS,"Birthday Cake, Cake Pop, 5.4 oz",5.4 oz,$5.49
BAKE HOUSE CREATIONS,"Cookies N Cream, 5.4 oz",5.4 oz,$5.49
