brand,name,weight,latest_date,latest_price,median_price_30d,pct_diff_vs_30d_median,direction,reason
ALDI,"White Melting Wafers, 10 oz",10 oz,2026-02-15,3.55,3.95,-10.13,lower_vs_30d_median,model_30d_unique
BAKER'S CORNER,"Semi-Sweet Chocolate Bar, 4 oz",nan,2026-02-15,2.35,3.19,-26.33,lower_vs_30d_median,model_30d_unique
BAKER'S CORNER,"Unsweetened Chocolate Bar, 4 oz",nan,2026-02-15,2.35,3.19,-26.33,lower_vs_30d_median,model_30d_unique
BREMER,"Shepherd's Pie, 30 oz",30 oz.,2026-02-15,5.65,7.15,-20.98,lower_vs_30d_median,model_30d_unique
BURMAN'S,Dill Pickle Mustard,12 oz,2026-02-15,1.09,1.55,-29.68,lower_vs_30d_median,model_30d_unique
BURMAN'S,Honey Dijon Mustard,12 oz,2026-02-15,1.09,1.55,-29.68,lower_vs_30d_median,model_30d_unique
CABOT,"Seriously Sharp White Cheddar, 8 oz",8 oz,2026-02-15,3.09,3.95,-21.77,lower_vs_30d_median,model_30d_unique
CHEF'S CUPBOARD,Chicken Pot Pie,18.8 oz,2026-02-15,1.89,1.99,-5.03,lower_vs_30d_median,model_30d_unique
CHEF'S CUPBOARD,"Classic Hawaiian Stuffing, 6 oz",6 oz,2026-02-15,1.09,1.45,-24.83,lower_vs_30d_median,model_30d_unique
CHEF'S CUPBOARD,"Sage and Onion Hawaiian Stuffing, 6 oz",6 oz,2026-02-15,1.09,1.45,-24.83,lower_vs_30d_median,model_30d_unique
CHEF'S CUPBOARD,Steak and Potato soup,18.8 oz,2026-02-15,1.89,1.99,-5.03,lower_vs_30d_median,model_30d_unique
CHOCEUR,"Love Around The World Assorted Chocolates, 3.84 oz",3.84 oz,2026-02-11,3.79,4.29,-11.66,lower_vs_30d_median,model_30d_unique
CHOCEUR,"Love Around The World Dubai Chocolates, 3.6 oz",3.6 oz,2026-02-11,3.79,4.29,-11.66,lower_vs_30d_median,model_30d_unique
DAKOTA'S PRIDE,"Sixteen Bean Soup Mix, 20 oz",20 oz,2026-02-15,1.89,2.19,-13.7,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"3 Chile Gouda Cheese, 6 oz",6 oz,2026-02-13,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"But First Coffee Lavender and Espresso Cheddar Cheese, 4 oz",4 oz,2026-02-15,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"French Onion Havarti Cheese, 6 oz",6 oz,2026-02-13,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Garlic & Herb Gourmet Spreadable Cheese, 6.5 oz",6.5 oz,2026-02-15,3.19,3.65,-12.6,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Honey I'd Rather Bee at the Sea Sea Salt Honey Cheddar Cheese, 4 oz",4 oz,2026-02-15,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Horseradish Cheddar Cheese Spread, 6.5 oz",6.5 oz,2026-02-15,3.19,3.65,-12.6,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Original Butterkase Cheese, 6 oz",6 oz,2026-02-13,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Peppercorn Parmesan Cheese Spread, 6.5 oz",6.5 oz,2026-02-15,3.19,3.65,-12.6,lower_vs_30d_median,model_30d_unique
