brand,name,weight,price
CLANCY'S,"Original Kettle Chips, 8 oz",8 oz,$1.99
BENTON'S,"Blueberry Breakfast Biscuits, 5 pack",8.8 oz,$3.59
BENTON'S,"Chocolate Chip Cookies, 13 oz",13 oz,$2.75
SPECIALLY SELECTED,"Milk Chocolate Butter Cookies, 4.41 oz",4.41 oz,$2.75
SOUTHERN GROVE,"Almond, Dark Chocolate & Cashews Trail Mix, 15 oz",15 oz,$5.39
SOUTHERN GROVE,"Sweet & Salty Trail Mix, 8 count",8 ct,$3.29
CHOCEUR,"Milk Mini Chocolate Bars, 5 count",5 x 1.4 oz.,$3.55
SIMPLY NATURE,"Organic Blue Corn Tortilla Chips, 8.25 oz",8.25 oz,$2.55
BENTON'S,"Mini Bear Chocolate Grahams Snack Packs, 12 oz",12 oz,$4.75
SIMPLY NATURE,"Organic Multigrain Tortilla Chips, 8.25 oz",8.25 oz,$2.55
SOUTHERN GROVE,"California Raisins, 20 oz",20 oz,$4.79
CLANCY'S,"Pretzel Mini Twists, 1 lb",16 oz,$2.19
CLANCY'S,"Mesquite Barbecue Kettle Chips, 8 oz",8 oz,$1.99
CLANCY'S,"Jalapeño Kettle Chips, 8 oz",8 oz,$1.99
CLANCY'S,"Sea Salt and Vinegar Kettle Chips, 8 oz",8 oz,$1.99
SOUTHERN GROVE,"Dry Roasted Unsalted Peanuts, 16 oz",16 oz,$2.35
SOUTHERN GROVE,"Dried Mixed Berries, 5 oz",5 oz,$2.99
SOUTHERN GROVE,"Mountain Trail Mix, 26 oz",26 oz,$6.85
SOUTHERN GROVE,"Tropical Trail Mix, 26 oz",26 oz,$6.85
CLANCY'S,"Wavy Potato Chips, 10 oz",10 oz,$1.99
CLANCY'S,"Barbecue Potato Chips, 9.5 oz",9.5 oz,$1.99
CLANCY'S,"Restaurant Style Tortilla Chips, 13 oz",13 oz,$2.15
CLANCY'S,"Original Baked Potato Crisps, 6.25 oz",6.25 oz,$3.29
SOUTHERN GROVE,"Shelled Walnuts, 16 oz",16 oz,$6.49
SAVORITZ,"Butter Entertainment Crackers, 7 oz",7 oz,$1.49
BENTON'S,"Mini Bear Honey Grahams Snack Packs, 12 oz",12 oz,$4.75
SOUTHERN GROVE,"Indulgent Trail Mix, 26 oz",26 oz,$6.85
SAVORITZ,"Saltine Crackers, 16 oz",16 oz,$1.99
BENTON'S,"Double Filled Chocolate Sandwich Creme Cookies, 15.35 oz",15.35 oz,$2.75
CHOCEUR,"Dark Chocolate Coconut Covered Almonds, 10 oz",10 oz,$6.59
CLANCY'S,"Sour Cream and Onion Stackerz Potato Crisps, 5.5 oz",5.5 oz,$1.65
SOUTHERN GROVE,"Unsalted Whole Almonds, 14 oz",14 oz,$6.55
SIMPLY NATURE,"Organic Peppered Beef Jerky, 2.5 oz",2.5 oz,$3.55
CHOCEUR,"Superberry Pomegranate Dark Chocolate, 7 oz",7 oz,$4.65
SOUTHERN GROVE,"Deluxe Mixed Nuts with Sea Salt, 30 oz",,$14.65
CHOCEUR,"Dark Mini Chocolate Bars - 5 pack, 1.4 oz","5 x 1.4 oz,",$3.55
CHOCEUR,"Strawberry Yogurt Filled Mini Chocolate Bars, 7.05 oz",7.05 oz,$3.85
CHOCEUR,"Milk Hazelnut Crisp Filled Mini Chocolate Bars, 7.05 oz",7.05 oz,$3.85
MOSER ROTH,"Dark Chili Chocolate Bar, 4.4 oz",4.4 oz,$3.65
CHOCEUR,"Hazelnut Crunch Mini Chocolate Bars - 5 pack, 1.4 oz",5 x 1.4 oz.,$3.55
MOSER ROTH,"Dark Chocolate Sea Salt Bar, 4.4 oz",4.4 oz,$3.65
CHOCEUR,"Milk Creme Filled Mini Chocolate Bars, 7.05 oz",7.05 oz,$3.85
MOSER ROTH,"Toffee Crunch Creamy Chocolate Bar, 4.4 oz",4.4 oz.,$3.65
SIMPLY NATURE,"Chia Seeds, 12 oz",12 oz,$3.85
MOSER ROTH,"Sea Salt & Caramel Dark Chocolate Bars, 5 count",4.4 oz.,$3.65
MOSER ROTH,"Mint Dark Chocolate Bar, 4.4 oz",4.4 oz.,$3.65
MOSER ROTH,"Milk Extra Creamy Chocolate Bar, 4.4 oz",4.4 oz,$3.65
MOSER ROTH,"Orange & Almond Dark Chocolate Bar, 4.4 oz",4.4 oz,$3.65
MOSER ROTH,"Dark Chocolate 85% Cocoa Chocolate Bar, 4.4 oz",4.4 oz,$3.65
KNOPPERS,Crispy Milk Hazelnut Chocolate Wafer Snacks - 5 pack,5 x 0.88 oz,$2.75
SOUTHERN GROVE,"Deluxe Whole Cashews with Sea Salt, 30 oz",,$11.55
SOUTHERN GROVE,"Cashew Halves and Pieces with Sea Salt, 14 oz",14 oz,$5.49
SIMPLY NATURE,"Brown Whole Flax Seed, 16 oz",16 oz,$3.65
SOUTHERN GROVE,"Dried Mediterranean Apricots, 6 oz",6 oz,$4.05
SOUTHERN GROVE,"Shelled Pistachios Roasted with Sea Salt, 6 oz",6 oz,$4.39
CLANCY'S,"Cheddar Cheese Stackerz Potato Crisps, 5.5 oz",5.5 oz,$1.65
SIMPLY NATURE,"Freeze Dried Strawberries, 1.2 oz",1.2 oz,$2.85
SOUTHERN GROVE,"Peanut Cranberry Almond Trail Mix, 8 count",8 ct,$3.29
BENTON'S,"Duplex Sandwich Crème Cookies, 25 oz",25 oz,$2.95
SIMPLY NATURE,"Organic Teriyaki Beef Jerky, 2.5 oz",2.5 oz,$3.55
SIMPLY NATURE,"Raw Cashews, Walnuts and Macadamia Nuts, 8 oz",8 oz,$4.39
FIT & ACTIVE,"Cheddar Rice Snacks, 6 oz",6 oz,$3.29
SOUTHERN GROVE,"Pistachios in Shell, 1 lb",16 oz,$6.05
SOUTHERN GROVE,"Salted Roasted Sunflower Kernels, 16 oz",16 oz,$2.85
SAVORITZ,"Wheat Entertainment Crackers, 8 oz",8 oz,$1.49
BENTON'S,"Vanilla Sandwich Crème Cookies, 25 oz",25 oz,$2.95
SOUTHERN GROVE,"Dried Blueberries, 3.5 oz",3.5 oz,$2.99
