brand,name,weight,latest_date,latest_price,median_price_30d,pct_diff_vs_30d_median,direction,reason
ALDI,"White Melting Wafers, 10 oz",10 oz,2026-02-12,3.55,3.95,-10.13,lower_vs_30d_median,model_30d_unique
BAKER'S CORNER,"Semi-Sweet Chocolate Bar, 4 oz",nan,2026-02-12,2.35,3.19,-26.33,lower_vs_30d_median,model_30d_unique
BAKER'S CORNER,"Unsweetened Chocolate Bar, 4 oz",nan,2026-02-12,2.35,3.19,-26.33,lower_vs_30d_median,model_30d_unique
BREMER,"Shepherd's Pie, 30 oz",30 oz.,2026-02-12,5.65,7.15,-20.98,lower_vs_30d_median,model_30d_unique
BURMAN'S,Dill Pickle Mustard,12 oz,2026-02-12,1.09,1.55,-29.68,lower_vs_30d_median,model_30d_unique
BURMAN'S,Honey Dijon Mustard,12 oz,2026-02-12,1.09,1.55,-29.68,lower_vs_30d_median,model_30d_unique
CABOT,"Seriously Sharp White Cheddar, 8 oz",8 oz,2026-02-12,3.09,3.95,-21.77,lower_vs_30d_median,model_30d_unique
CHEF'S CUPBOARD,"Classic Hawaiian Stuffing, 6 oz",6 oz,2026-02-12,1.09,1.45,-24.83,lower_vs_30d_median,model_30d_unique
CHEF'S CUPBOARD,"Sage and Onion Hawaiian Stuffing, 6 oz",6 oz,2026-02-12,1.09,1.45,-24.83,lower_vs_30d_median,model_30d_unique
CHOCEUR,"Love Around The World Assorted Chocolates, 3.84 oz",3.84 oz,2026-02-11,3.79,4.29,-11.66,lower_vs_30d_median,model_30d_unique
CHOCEUR,"Love Around The World Dubai Chocolates, 3.6 oz",3.6 oz,2026-02-11,3.79,4.29,-11.66,lower_vs_30d_median,model_30d_unique
COCA-COLA,"Cola Mini Cans - 6 Pack, 7.5 fl oz",6 x 7.5 fl oz,2026-02-12,5.35,5.05,5.94,higher_vs_30d_median,model_30d_unique
COCA-COLA,"Diet Coke Mini Cans - 6 Pack, 7.5 fl oz",6 x 7.5 fl oz,2026-02-12,5.35,5.05,5.94,higher_vs_30d_median,model_30d_unique
COCA-COLA,"Sprite Mini Cans - 6 Pack, 7.5 fl oz",6 x 7.5 fl oz,2026-02-12,5.35,5.05,5.94,higher_vs_30d_median,model_30d_unique
DAKOTA'S PRIDE,"Sixteen Bean Soup Mix, 20 oz",20 oz,2026-02-12,1.89,2.19,-13.7,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"3 Chile Gouda Cheese, 6 oz",6 oz,2026-02-12,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"But First Coffee Lavender and Espresso Cheddar Cheese, 4 oz",4 oz,2026-02-12,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"French Onion Havarti Cheese, 6 oz",6 oz,2026-02-12,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Garlic & Herb Gourmet Spreadable Cheese, 6.5 oz",6.5 oz,2026-02-12,3.19,3.65,-12.6,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Honey I'd Rather Bee at the Sea Sea Salt Honey Cheddar Cheese, 4 oz",4 oz,2026-02-12,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Horseradish Cheddar Cheese Spread, 6.5 oz",6.5 oz,2026-02-12,3.19,3.65,-12.6,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Original Butterkase Cheese, 6 oz",6 oz,2026-02-12,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Peppercorn Parmesan Cheese Spread, 6.5 oz",6.5 oz,2026-02-12,3.19,3.65,-12.6,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Sharp Cheddar Cheese Spread, 6.5 oz",6.5 oz,2026-02-12,3.19,3.65,-12.6,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"Some Like it Hatch Hatch Pepper Cheddar Cheese, 4 oz",4 oz,2026-02-12,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
EMPORIUM SELECTION,"You're Cajun Me Crazy Cajun Spice Cheddar Cheese, 4 oz",4 oz,2026-02-12,2.75,3.65,-24.66,lower_vs_30d_median,model_30d_unique
GENERAL MILLS,"Honey Nut Cheerios, 15.4 oz",15.4 oz,2026-02-12,4.05,4.45,-8.99,lower_vs_30d_median,model_30d_unique
HAPPY FARMS,"Port Wine Deli Style Cheese Ball, 6 oz",6 oz,2026-02-12,1.89,2.55,-25.88,lower_vs_30d_median,model_30d_unique
HAPPY FARMS,"Port Wine Spreadable Cheese Cup, 11.7 oz",11.7 oz,2026-02-12,2.99,4.09,-26.89,lower_vs_30d_median,model_30d_unique
HAPPY FARMS,"Port Wine Spreadable Cheese with Almond, 6 oz",10 oz,2026-02-12,1.89,2.55,-25.88,lower_vs_30d_median,model_30d_unique
HAPPY FARMS,"Sharp Cheddar Deli Style Cheese Ball, 6 oz",6 oz,2026-02-12,1.89,2.55,-25.88,lower_vs_30d_median,model_30d_unique
HAPPY FARMS,"Sharp Cheddar Spreadable Cheese Cup, 11.7 oz",11.7 oz,2026-02-12,2.99,4.09,-26.89,lower_vs_30d_median,model_30d_unique
HAPPY FARMS,"Sharp Cheddar Spreadable Cheese with Almonds, 6 oz",10 oz,2026-02-12,1.89,2.55,-25.88,lower_vs_30d_median,model_30d_unique
HAPPY FARMS,"Swiss Almond Spreadable Cheese Cup, 12.9 oz",12.9 oz,2026-02-12,2.99,4.09,-26.89,lower_vs_30d_median,model_30d_unique
KIRKWOOD,"Split Chicken Breasts, per lb",4.35 lb,2026-02-12,8.66,5.37,61.27,higher_vs_30d_median,model_30d_unique|median_diff_30pct
MOSER ROTH,"Valentine's Day Truffle Hearts Chocolates, 2.75 oz",nan,2026-02-11,3.79,4.29,-11.66,lower_vs_30d_median,model_30d_unique
PARK STREET DELI,"Red Pepper Goat Cheese Dip, 7 oz",7 oz,2026-02-12,2.45,2.75,-10.91,lower_vs_30d_median,model_30d_unique
PARK STREET DELI,"Roasted Red Pepper Goat Cheese Dip, 7 oz",7 oz,2026-02-12,2.45,2.75,-10.91,lower_vs_30d_median,model_30d_unique
PARK STREET DELI,"Truffle Dip, 7 oz",7 oz,2026-02-12,2.45,2.75,-10.91,lower_vs_30d_median,model_30d_unique
PARK STREET DELI,"Truffle Dip, 8 oz",7 oz,2026-02-12,2.45,2.75,-10.91,lower_vs_30d_median,model_30d_unique
PRIANO,"Crab Ravioli, 9 oz",9 oz,2026-02-12,3.59,4.95,-27.47,lower_vs_30d_median,model_30d_unique
PRIANO,"Lobster Ravioli, 9 oz",9 oz,2026-02-12,3.59,4.95,-27.47,lower_vs_30d_median,model_30d_unique
REGGANO,"Rotini Pasta, 16 oz",16 oz,2026-02-12,0.85,0.99,-14.14,lower_vs_30d_median,model_30d_unique
SAVORITZ,"Soup & Oyster Crackers, 10 oz",10 oz.,2026-02-12,1.25,1.45,-13.79,lower_vs_30d_median,model_30d_unique
SIMMS,"Thick Cut Pepperoni, 16 oz",16 oz,2026-02-12,6.25,7.39,-15.43,lower_vs_30d_median,model_30d_unique
SIMPLY NATURE,"Organic Baby Spinach, 5 oz",5 oz,2026-02-12,2.85,3.09,-7.77,lower_vs_30d_median,model_30d_unique
SIMPLY NATURE,"Organic Grass Fed 85% Lean Ground Beef, 1 lb",1 lb,2026-02-12,6.59,6.95,-5.18,lower_vs_30d_median,model_30d_unique
SPECIALLY SELECTED,Applewood Smoked Cheddar & Bacon Deluxe Cheesy Potatoes,6.56 oz,2026-02-12,2.09,2.45,-14.69,lower_vs_30d_median,model_30d_unique
SPECIALLY SELECTED,"Applewood Smoked Cheddar & Bacon Potatoes, 6.6 oz",6.56 oz,2026-02-12,2.09,2.45,-14.69,lower_vs_30d_median,model_30d_unique
