brand,name,weight,latest_date,latest_price,median_price_30d,pct_diff_vs_30d_median,direction,reason
BAKE SHOP,"Holiday Frosted Sugar Cookies, 10 count",13.5 oz,2025-12-24,2.99,3.39,-11.8,lower_vs_30d_median,model_30d_unique
BAKE SHOP,"Pumpkin Cake Roll, 18 oz",18 oz,2025-12-29,1.35,3.27,-58.72,lower_vs_30d_median,median_diff_30pct
BAKER'S CORNER,"100% Pure Corn Starch, 16 oz",16 oz,2025-12-29,1.39,1.75,-20.57,lower_vs_30d_median,model_30d_unique
BENNER,"Tea Gift Box, 48 count",48 count,2025-12-26,1.49,3.74,-60.16,lower_vs_30d_median,median_diff_30pct
BENTON'S,Candy Cane Cremes,15.25 oz,2025-12-29,0.95,2.35,-59.57,lower_vs_30d_median,median_diff_30pct
BENTON'S,Continental Cookie Assortment,17.64 oz,2025-12-29,2.75,8.79,-68.71,lower_vs_30d_median,model_30d_unique|median_diff_30pct
BENTON'S,Hazelnut Mini Waffle Cone,4.23 oz,2025-12-29,1.05,2.62,-59.92,lower_vs_30d_median,median_diff_30pct
BETTY CROCKER,Blue Cookie Icing,7 oz,2025-12-29,0.95,2.3,-58.7,lower_vs_30d_median,median_diff_30pct
BETTY CROCKER,"Green Cookie Icing, 7 oz",7 oz,2025-12-29,0.95,2.3,-58.7,lower_vs_30d_median,median_diff_30pct
BETTY CROCKER,"Red Cookie Icing, 7 oz",7 oz,2025-12-29,0.95,2.3,-58.7,lower_vs_30d_median,median_diff_30pct
BETTY CROCKER,"White Cookie Icing, 7 oz",7 oz,2025-12-29,0.95,2.3,-58.7,lower_vs_30d_median,median_diff_30pct
CHOCEUR,Dark Chocolate Pralines,10.58 oz,2025-12-27,1.49,5.69,-73.81,lower_vs_30d_median,model_30d_unique|median_diff_30pct
CHOCEUR,"Holiday Assorted Chocolate Gift Box, 1.83 oz",1.83 oz,2025-12-28,0.69,2.49,-72.29,lower_vs_30d_median,model_30d_unique|median_diff_30pct
CHOCEUR,"Holiday Truffles Assorted Flavor, 2.29 oz",2.29 oz,2025-12-26,0.69,1.84,-62.5,lower_vs_30d_median,median_diff_30pct
CHOCEUR,"Holiday Variety Pack Nut Chocolates, 10.5 oz",10.5 oz,2025-12-27,2.49,8.49,-70.67,lower_vs_30d_median,model_30d_unique|median_diff_30pct
CHOCEUR,Milk Chocolate Pralines,10.58 oz,2025-12-27,1.49,5.69,-73.81,lower_vs_30d_median,model_30d_unique|median_diff_30pct
CLANCY'S,Dark Drizzled Kettle Corn,5 oz,2025-12-27,0.65,1.6,-59.38,lower_vs_30d_median,median_diff_30pct
