brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
EMPORIUM SELECTION,"Garlic and Herb Goat Cheese Log, 4 oz",4 oz,$1.99,323.99455,20.249659375,113.39809250000002
SPECIALLY SELECTED,"Le Gruyere Cheese, 6 oz",6 oz,$5.85,668.2387593750001,48.599182500000005,170.09713875000003
EMPORIUM SELECTION,"Brie Cheese Round, 8 oz",8 oz,$4.75,831.5860116666668,37.79936416666667,226.79618500000004
HAPPY FARMS,"Wisconsin Extra Sharp Cheddar Cheese Block, 8 oz",8 oz,$2.05,890.9850125,56.69904625000001,226.79618500000004
EMPORIUM SELECTION,"Cranberry Cinnamon Flavored Goat Cheese Log, 6 oz",6 oz,$3.95,485.99182500000006,18.2246934375,170.09713875000003
FRIENDLY FARMS,"Light Sour Cream, 16 oz",16 oz,$2.05,604.7898266666667,15.119745666666669,453.5923700000001
HAPPY FARMS,"2% Milk Reduced Fat American Cheese Singles, 16 count",10.67 oz,$2.05,864.2554621250002,43.21277310625001,302.48941174375005
FRIENDLY FARMS,"2% Lactose Free Milk, 64 fl oz",64 fl oz,$3.55,,,
FRIENDLY FARMS,"1% Milk, 64 fl oz",0.5 gal,$1.89,,,
HAPPY FARMS,"Sharp Cheddar Cheese Block, 8 oz",8 oz,$2.05,890.9850125,48.599182500000005,226.79618500000004
HAPPY FARMS,"Deli Sliced Mild Cheddar Cheese, 8 oz",8 oz,$1.75,863.9854666666668,53.99909166666667,226.79618500000004
HAPPY FARMS,"Deli Sliced Pepper Jack Cheese, 7.5 oz",7.5 oz,$1.95,809.9863750000002,50.62414843750001,212.62142343750003
HAPPY FARMS,"Deli Sliced Muenster Cheese, 8 oz",8 oz,$1.95,863.9854666666668,53.99909166666667,226.79618500000004
FRIENDLY FARMS,"Plain Whole Milk Greek Yogurt, 32 oz",32 oz,$4.15,907.1847400000001,85.3820931764706,907.1847400000001
FRIENDLY FARMS,"Nonfat Plain Greek Yogurt, 32 oz",32 oz,$3.55,480.27427411764717,85.3820931764706,907.1847400000001
FRIENDLY FARMS,"Nonfat Strawberry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85,110.18514654583335,11.018514654583335,150.25247256250003
FRIENDLY FARMS,"Nonfat Black Cherry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85,110.18514654583335,13.021880955416668,150.25247256250003
FRIENDLY FARMS,"Nonfat Raspberry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85,110.18514654583335,13.021880955416668,150.25247256250003
FRIENDLY FARMS,"Nonfat Blueberry on the Bottom Greek Yogurt, 5.3 oz",5.3 oz,$2.85,,,
