brand,name,weight,price
MOSER ROTH,"Dark Chili Chocolate Bar, 4.4 oz",4.4 oz,$3.29
CHOCEUR,"Hazelnut Crunch Mini Chocolate Bars - 5 pack, 1.4 oz",5 x 1.4 oz.,$3.29
,"Dark Chocolate Sea Salt Bar, 4.4 oz",4.4 oz,$3.29
CHOCEUR,"Milk Creme Filled Mini Chocolate Bars, 7.05 oz",7.05 oz,$3.85
MOSER ROTH,"Toffee Crunch Chocolate Bar, 4.4 oz",4.4 oz.,$3.29
SIMPLY NATURE,"Chia Seeds, 12 oz",12 oz,$3.85
MOSER ROTH,"Dark Sea Salt Caramel Chocolate Bar, 4.4 oz",4.4 oz.,$3.29
MOSER ROTH,"Dark Mint Chocolate Bar, 4.4 oz",4.4 oz.,$3.29
MOSER ROTH,"Milk Extra Creamy Chocolate Bar, 4.4 oz",4.4 oz,$3.29
MOSER ROTH,"Dark Orange and Almond Chocolate Bar, 4.4 oz",4.4 oz,$3.29
MOSER ROTH,"Dark Chocolate 85% Cocoa Chocolate Bar, 4.4 oz",4.4 oz,$3.29
KNOPPERS,Crispy Milk Hazelnut Chocolate Wafer Snacks - 5 pack,5 x 0.88 oz,$3.25
SOUTHERN GROVE,"Deluxe Whole Cashews with Sea Salt, 30 oz",30 oz,$11.89
SOUTHERN GROVE,"Cashew Halves and Pieces with Sea Salt, 14 oz",14 oz,$5.39
SIMPLY NATURE,"Brown Whole Flax Seed, 16 oz",16 oz,$3.65
SOUTHERN GROVE,"Dried Mediterranean Apricots, 6 oz",6 oz,$3.85
EXCITEMINT,"Sugar Free Arctic Blast Gum, 60 count",60 ct,$2.19
SOUTHERN GROVE,"Shelled Pistachios Roasted with Sea Salt, 6 oz",6 oz,$4.39
CLANCY'S,"Cheddar Cheese Stackerz Potato Crisps, 5.5 oz",5.5 oz,$1.65
SIMPLY NATURE,"Freeze Dried Strawberries, 1.2 oz",1.2 oz,$2.85
SOUTHERN GROVE,"Peanut Cranberry Almond Trail Mix, 8 count",8 ct,$3.65
BENTON'S,"Duplex Sandwich Crème Cookies, 25 oz",25 oz,$2.95
SIMPLY NATURE,"Organic Teriyaki Beef Jerky, 2.5 oz",2.85 oz,$3.55
CLANCY'S,"Original Kettle Chips, 8 oz",8 oz,$1.65
BENTON'S,"Blueberry Breakfast Biscuits, 8.8 oz",8.8 oz,$2.85
BENTON'S,"Chocolate Chip Cookies, 13 oz",13 oz,$2.55
SOUTHERN GROVE,"Almond, Dark Chocolate & Cashews Trail Mix, 15 oz",15 oz,$5.39
SOUTHERN GROVE,"Sweet & Salty Trail Mix, 8 count",8 ct,$3.65
